experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,inhibition_value,dilution_factor,inhibited,vol_filtered,filter_size
p_e,52345-077,2,10.8,1406968,0.001150837586703311,QBTK,shield,0,0.187,1,0,3,5
p_e,52345-078,3,10.1,414547.7,3.625823916313893e-4,QBTK,shield,0,-0.384,1,0,3,5
p_e,52345-078,1,10.1,372679.7,3.259627225973481e-4,QBTK,shield,0,-0.445,1,0,3,5
p_e,52345-078,2,10.1,347975.9,3.0435564846237274e-4,QBTK,shield,0,-0.362,1,0,3,5
p_e,52345-066,2,20.2,515607.60000000003,2.254870027638807e-4,QBTK,minus 80,0,0.096,10,0,3,5
p_e,52345-066,3,20.2,512788.2,2.2425401462407727e-4,QBTK,minus 80,0,-0.212,10,0,3,5
p_e,52345-066,1,20.2,496713.39999999997,2.1722413672462654e-4,QBTK,minus 80,0,-0.246,10,0,3,5
p_e,52345-065,2,22.6,454285.5,1.7757180493448824e-4,QBTK,minus 80,0,-0.324,10,0,3,5
p_e,52345-065,1,22.6,418959.19999999995,1.637634072359986e-4,QBTK,minus 80,0,-0.107,10,0,3,5
p_e,52345-064,2,21.1,407699,1.706910555490429e-4,QBTK,minus 80,0,-0.186,10,0,3,5
p_e,52345-065,3,22.6,395591.8,1.5462952249914005e-4,QBTK,minus 80,0,-0.146,10,0,3,5
p_e,52345-077,2,10.8,390119.3,3.19100330454129e-4,QBTK,shield,0,-0.375,10,0,3,5
p_e,52345-077,1,10.8,375376.60000000003,3.070414539981678e-4,QBTK,shield,0,-0.329,10,0,3,5
p_e,52345-064,3,21.1,362449,1.517462696565237e-4,QBTK,minus 80,0,-0.283,10,0,3,5
p_e,52345-077,3,10.8,356855.3,2.91891849888758e-4,QBTK,shield,0,-0.395,10,0,3,5
p_e,52345-128,3,12.2,355850.4,2.5766842379655917e-4,QBTK,later,0,-0.202,10,0,3,5
p_e,52345-064,1,21.1,348735.6,1.460048900574414e-4,QBTK,minus 80,0,-0.21,10,0,3,5
p_e,52345-055,2,19,347401.9,1.6152217779430913e-4,QBTK,self-preserving,0,-0.195,10,0,3,5
p_e,52345-128,1,12.2,344934.6,2.497643804668945e-4,QBTK,later,0,0.081,10,0,3,5
p_e,52345-128,2,12.2,333748.39999999997,2.4166454266349996e-4,QBTK,later,0,-0.002,10,0,3,5
p_e,52345-055,1,19,325788.2,1.5147303328993863e-4,QBTK,self-preserving,0,-0.032,10,0,3,5
p_e,52345-129,3,10.8,322936.8,2.641480172752257e-4,QBTK,later,0,-0.299,10,0,3,5
p_e,52345-076,3,12.4,316785.9,2.2568242049469966e-4,QBTK,shield,0,-0.248,10,0,3,5
p_e,52345-129,2,10.8,312956.5,2.55984573354273e-4,QBTK,later,0,-0.174,10,0,3,5
p_e,52345-055,3,19,311734.6,1.4493890645341266e-4,QBTK,self-preserving,0,-0.283,10,0,3,5
p_e,52345-076,1,12.4,309435.5,2.2044589935027925e-4,QBTK,shield,0,-0.218,10,0,3,5
p_e,52345-076,2,12.4,306753.6,2.1853527869599907e-4,QBTK,shield,0,-0.365,10,0,3,5
p_e,52345-129,1,10.8,301346,2.4648769794529513e-4,QBTK,later,0,0.003,10,0,3,5
p_e,52345-078,2,10.1,257032.90000000002,2.2481273834097195e-4,QBTK,shield,0,-0.118,10,0,3,5
p_e,52345-078,3,10.1,256008.5,2.2391675121575765e-4,QBTK,shield,0,-0.104,10,0,3,5
p_e,52345-078,1,10.1,250176.69999999998,2.188159920232306e-4,QBTK,shield,0,-0.304,10,0,3,5
p_e,52345-057,1,16.1,211831.8,1.1623016482672341e-4,QBTK,self-preserving,0,-0.227,10,0,3,5
p_e,52345-057,2,16.1,203001.8,1.1138522485349954e-4,QBTK,self-preserving,0,-0.202,10,0,3,5
p_e,52345-057,3,16.1,197722.40000000002,1.0848846651888595e-4,QBTK,self-preserving,0,-0.227,10,0,3,5
p_e,52345-130,1,6.13,169401,2.441232079963569e-4,QBTK,later,0,-0.136,10,0,3,5
p_e,52345-130,2,6.13,163841,2.361107108064953e-4,QBTK,later,0,-0.108,10,0,3,5
p_e,52345-130,3,6.13,159265,2.295162526876452e-4,QBTK,later,0,-0.195,10,0,3,5
p_e,52345-056,2,13.9,144321.7,9.172134377303812e-5,QBTK,self-preserving,0,-0.311,10,0,3,5
p_e,52345-056,1,13.9,142973.9,9.086477108066197e-5,QBTK,self-preserving,0,-0.382,10,0,3,5
p_e,52345-056,3,13.9,122612.90000000001,7.792466380252688e-5,QBTK,self-preserving,0,-0.302,10,0,3,5
p_e,52345-061,1,32,11399.64,3.146985424028268e-6,PCI,minus 80,0,0.502,1,1,3,5
p_e,52345-061,3,32,14814.34,4.089647747349823e-6,PCI,minus 80,0,0.136,1,0,3,5
p_e,52345-061,2,32,9361.051,2.5842124006183746e-6,PCI,minus 80,0,0.455,1,0,3,5
p_e,52345-062,2,31.2,7022.856,1.988441152487089e-6,PCI,minus 80,0,0.692,1,1,3,5
p_e,52345-062,3,31.2,11172.68,3.1634162362960953e-6,PCI,minus 80,0,0.328,1,0,3,5
