experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,inhibition_value,dilution_factor,inhibited,vol_filtered,filter_size
v_ps,52345-018,1,202,33310.16,1.4567295245425605e-8,PCI,longmires,1,0.3,40,0,3,1
v_ps,52345-020,2,131.4,32729.36,2.2003700297422163e-8,PCI,longmires,1,0.131,40,0,3,5
v_ps,52345-020,3,131.4,31848.48,2.141149135969795e-8,PCI,longmires,1,0.432,40,0,3,5
v_ps,52345-020,1,131.4,31472.88,2.1158978330671056e-8,PCI,longmires,1,0.219,40,0,3,5
v_ps,52345-019,2,166.6,31079.2,1.6479666071375548e-8,PCI,longmires,1,0.271,40,0,3,1
v_ps,52345-022,3,136.8,30684.52,1.9814668443783192e-8,PCI,longmires,1,0.208,40,0,3,5
v_ps,52345-021,3,111.4,30529.36,2.4209514625930177e-8,PCI,longmires,1,0.296,40,0,3,5
v_ps,52345-017,2,156.4,30310.84,1.7120435053726516e-8,PCI,longmires,1,0.26,40,0,3,1
v_ps,52345-017,3,156.4,30227.28,1.7073237960109532e-8,PCI,longmires,1,0.336,40,0,3,1
v_ps,52345-013,3,NA,75433.1,NA,PCI,longmires,1,-0.5403333333,100,0,1,1
v_ps,52345-013,2,NA,75318.9,NA,PCI,longmires,1,-0.7253333333,100,0,1,1
v_ps,52345-021,1,111.4,29978.52,2.377270333881026e-8,PCI,longmires,1,0.176,40,0,3,5
v_ps,52345-018,3,202,29880.96,1.3067627610817619e-8,PCI,longmires,1,0.156,40,0,3,1
v_ps,52345-022,1,136.8,29570.44,1.909524621329531e-8,PCI,longmires,1,0.21,40,0,3,5
v_ps,52345-020,3,NA,73627.2,NA,PCI,longmires,1,-1.225333333,100,0,3,5
v_ps,52345-019,3,166.6,14610.42,7.74713772434769e-9,PCI,longmires,1,0.393,20,0,3,1
v_ps,52345-017,1,156.4,29003.64,1.638209086061833e-8,PCI,longmires,1,0.287,40,0,3,1
v_ps,52345-021,2,111.4,28933.64,2.2944122666226822e-8,PCI,longmires,1,0.281,40,0,3,5
v_ps,52345-019,1,166.6,28171.24,1.493772774127319e-8,PCI,longmires,1,0.232,40,0,3,1
v_ps,52345-022,2,136.8,27719.04,1.7899696237059075e-8,PCI,longmires,1,0.272,40,0,3,5
v_ps,52345-014,1,NA,60149.9,NA,PCI,longmires,1,-0.6723333333,100,0,1,5
v_ps,52345-016,1,NA,1715.84,NA,PCI,longmires,1,3.624666667,10,1,1,5
v_ps,52345-021,2,NA,51067.9,NA,PCI,longmires,1,-0.9253333333,100,0,3,5
v_ps,52345-016,2,NA,1609.22,NA,PCI,longmires,1,5.626666667,10,1,1,5
v_ps,52345-013,1,NA,49028.6,NA,PCI,longmires,1,-1.105333333,100,0,1,1
v_ps,52345-020,1,NA,48745,NA,PCI,longmires,1,-1.037333333,100,0,3,5
v_ps,52345-013,2,54.6,8803.2,1.4243000815438978e-8,PCI,longmires,1,0.479,20,0,1,1
v_ps,52345-012,2,NA,43365.8,NA,PCI,longmires,1,-1.071333333,100,0,1,1
v_ps,52345-013,1,54.6,8215.78,1.3292593743123779e-8,PCI,longmires,1,0.499,20,0,1,1
v_ps,52345-021,3,NA,41046.8,NA,PCI,longmires,1,-0.9213333333,100,0,3,5
v_ps,52345-013,3,54.6,8182.7,1.3239072470521234e-8,PCI,longmires,1,0.271,20,0,1,1
v_ps,52345-012,1,NA,40484.7,NA,PCI,longmires,1,-0.6563333333,100,0,1,1
v_ps,52345-011,2,NA,39682.9,NA,PCI,longmires,1,-1.404333333,100,0,1,1
v_ps,52345-011,2,53.4,7539.44,1.2472439485978217e-8,PCI,longmires,1,0.327,20,0,1,1
v_ps,52345-014,3,45,7471.58,1.4667412642324303e-8,PCI,longmires,1,0.329,20,0,1,5
v_ps,52345-017,2,NA,34884.2,NA,PCI,longmires,1,0.03266666667,100,0,3,1
v_ps,52345-022,1,NA,3368.54,NA,PCI,longmires,1,NA,10,#VALUE!,3,5
v_ps,52345-014,1,45,6640.68,1.303627797408716e-8,PCI,longmires,1,0.303,20,0,1,5
v_ps,52345-011,1,53.4,6627.48,1.0963790844483265e-8,PCI,longmires,1,0.225,20,0,1,1
v_ps,52345-011,3,53.4,6542.44,1.082310980532285e-8,PCI,longmires,1,0.377,20,0,1,1
v_ps,52345-019,1,NA,3252.02,NA,PCI,longmires,1,NA,10,#VALUE!,3,1
v_ps,52345-012,2,46.2,6415.16,1.2266455570342496e-8,PCI,longmires,1,0.483,20,0,1,1
v_ps,52345-012,1,46.2,6305.2,1.2056200572101631e-8,PCI,longmires,1,0.359,20,0,1,1
v_ps,52345-015,3,42.4,6059.66,1.2625133342222816e-8,PCI,longmires,1,0.237,20,0,1,5
v_ps,52345-012,3,46.2,5916.9,1.1313730439172134e-8,PCI,longmires,1,0.422,20,0,1,1
v_ps,52345-015,1,NA,28301,NA,PCI,longmires,1,-0.2373333333,100,0,1,5
v_ps,52345-015,1,42.4,5475.22,1.1407468831255416e-8,PCI,longmires,1,0.343,20,0,1,5
v_ps,52345-015,2,42.4,5434.56,1.1322754850323357e-8,PCI,longmires,1,0.403,20,0,1,5
v_ps,52345-017,1,NA,26887.7,NA,PCI,longmires,1,0.1536666667,100,0,3,1
v_ps,52345-016,1,31.2,5274,1.493272628431639e-8,PCI,longmires,1,0.321,20,0,1,5
v_ps,52345-016,3,31.2,5001.06,1.4159927969556945e-8,PCI,longmires,1,0.469,20,0,1,5
v_ps,52345-020,3,NA,2061.48,NA,PCI,longmires,1,NA,10,#VALUE!,3,5
v_ps,52345-016,2,NA,19433.8,NA,PCI,longmires,1,0.3026666667,100,0,1,5
v_ps,52345-022,2,NA,1581.35,NA,PCI,longmires,1,NA,10,#VALUE!,3,5
v_ps,52345-015,2,NA,14691.2,NA,PCI,longmires,1,-0.4003333333,100,0,1,5
v_ps,52345-017,1,NA,931.64,NA,PCI,longmires,1,-0.8743333333,10,0,3,1
v_ps,52345-017,3,NA,8991.8,NA,PCI,longmires,1,0.02266666667,100,0,3,1
v_ps,52345-014,2,NA,6444.5,NA,PCI,longmires,1,-0.2603333333,100,0,1,5
v_ps,52345-021,1,NA,530.74,NA,PCI,longmires,1,-0.5873333333,10,0,3,5
v_ps,52345-014,3,NA,1445.6,NA,PCI,longmires,1,-0.5223333333,100,0,1,5
v_ps,52345-016,1,NA,1005.6,NA,PCI,longmires,1,-0.3063333333,100,0,1,5
v_ps,52345-011,3,NA,753.3,NA,PCI,longmires,1,-1.703333333,100,0,1,1
v_ps,52345-017,2,NA,0,NA,PCI,longmires,1,NA,10,#VALUE!,3,1
v_ps,52345-021,3,NA,0,NA,PCI,longmires,1,NA,10,#VALUE!,3,5
p_e,52345-058,1,18.1,846484.4,4.131368721082326e-4,zymo,minus 80,0,0.816,1,1,3,5
p_e,52345-058,2,18.1,691279.8,3.373874040958163e-4,zymo,minus 80,0,0.929,1,1,3,5
p_e,52345-058,3,18.1,661973.4,3.2308406379946507e-4,zymo,minus 80,0,0.599,1,1,3,5
p_e,52345-059,1,14.3,566670.8,3.5006474091279745e-4,zymo,minus 80,0,0.758,1,1,3,5
p_e,52345-059,2,14.3,496901.9,3.0696452840445773e-4,zymo,minus 80,0,0.679,1,1,3,5
p_e,52345-059,3,14.3,483000.1,2.9837659690133185e-4,zymo,minus 80,0,0.554,1,1,3,5
p_e,52345-060,3,13.5,568040.5,3.717056013610784e-4,zymo,minus 80,0,0.616,1,1,3,5
p_e,52345-060,1,13.5,469734.3,3.073775029446407e-4,zymo,minus 80,0,0.413,1,0,3,5
p_e,52345-060,2,13.5,416746.3,2.7270403088600965e-4,zymo,minus 80,0,-0.131,1,0,3,5
