sample,reference,bio_rep,tech_rep,dilution,smithroot_v_vaccum,filter_v_liq,preservation,extraction,Ct,quantity,inhibition_value,inhibited,PB_no,total_DNA
52345-059,SR_-80_zymo_2,2,2,10,SR,filter,minus 80,zymo,27.239,39333.11,-0.183,0,PB119,14.3
52345-072,SR_shield_zymo_3,3,1,10,SR,filter,shield,zymo,27.253,38991.39,0.014,0,PB119,8.76
52345-072,SR_shield_zymo_3,3,2,10,SR,filter,shield,zymo,27.364,36419.76,0.035,0,PB119,8.76
52345-060,SR_-80_zymo_3,3,1,10,SR,filter,minus 80,zymo,27.416,35262.47,0.032,0,PB119,13.5
52345-070,SR_shield_zymo_1,1,1,10,SR,filter,shield,zymo,27.526,32938.09,0.195,0,PB119,8.94
52345-072,SR_shield_zymo_3,3,3,10,SR,filter,shield,zymo,27.528,32887.47,-0.078,0,PB119,8.76
52345-060,SR_-80_zymo_3,3,3,10,SR,filter,minus 80,zymo,27.554,32368.22,-0.355,0,PB119,13.5
52345-071,SR_shield_zymo_2,2,1,10,SR,filter,shield,zymo,27.558,32289.68,-0.088,0,PB119,9.44
52345-070,SR_shield_zymo_1,1,2,10,SR,filter,shield,zymo,27.574,31975.81,-0.011,0,PB119,8.94
52345-049,SR_self-preserving_zymo_1,1,2,10,SR,filter,self-preserving,zymo,27.607,31333.50,-0.089,0,PB119,13.4
52345-071,SR_shield_zymo_2,2,2,10,SR,filter,shield,zymo,27.608,31316.67,0.006,0,PB119,9.44
52345-049,SR_self-preserving_zymo_1,1,1,10,SR,filter,self-preserving,zymo,27.612,31228.11,-0.068,0,PB119,13.4
52345-060,SR_-80_zymo_3,3,2,10,SR,filter,minus 80,zymo,27.697,29626.27,-0.046,0,PB119,13.5
52345-049,SR_self-preserving_zymo_1,1,3,10,SR,filter,self-preserving,zymo,27.734,28964.11,-0.235,0,PB119,13.4
52345-070,SR_shield_zymo_1,1,3,10,SR,filter,shield,zymo,27.805,27718.99,-0.086,0,PB119,8.94
52345-059,SR_-80_zymo_2,2,3,10,SR,filter,minus 80,zymo,27.861,26763.74,-0.07,0,PB119,14.3
52345-071,SR_shield_zymo_2,2,3,10,SR,filter,shield,zymo,27.906,26030.65,-0.072,0,PB119,9.44
52345-050,SR_self-preserving_zymo_2,2,1,10,SR,filter,self-preserving,zymo,27.972,24993.26,-0.076,0,PB119,10.3
52345-050,SR_self-preserving_zymo_2,2,2,10,SR,filter,self-preserving,zymo,28.031,24094.00,-0.236,0,PB119,10.3
52345-050,SR_self-preserving_zymo_2,2,3,10,SR,filter,self-preserving,zymo,28.124,22744.20,-0.217,0,PB119,10.3
52345-051,SR_self-preserving_zymo_3,3,1,10,SR,filter,self-preserving,zymo,28.182,21952.38,-0.115,0,PB119,12.8
52345-051,SR_self-preserving_zymo_3,3,2,10,SR,filter,self-preserving,zymo,28.448,18616.45,-0.183,0,PB119,12.8
52345-051,SR_self-preserving_zymo_3,3,3,10,SR,filter,self-preserving,zymo,28.565,17319.59,-0.145,0,PB119,12.8
52345-081,vacuum_longmires_zymo_3,3,2,10,vacuum,filter,longmires,zymo,30.433,5450.37,0.144,0,PB119,3.93
52345-079,vacuum_longmires_zymo_1,1,2,10,vacuum,filter,longmires,zymo,30.436,5439.31,-0.006,0,PB119,1.83
52345-081,vacuum_longmires_zymo_3,3,1,10,vacuum,filter,longmires,zymo,30.447,5402.54,0.24,0,PB119,3.93
52345-079,vacuum_longmires_zymo_1,1,1,10,vacuum,filter,longmires,zymo,30.467,5336.53,-0.121,0,PB119,1.83
52345-081,vacuum_longmires_zymo_3,3,3,10,vacuum,filter,longmires,zymo,30.641,4790.97,-0.047,0,PB119,3.93
52345-079,vacuum_longmires_zymo_1,1,3,10,vacuum,filter,longmires,zymo,30.735,4521.69,0.139,0,PB119,1.83
52345-080,vacuum_longmires_zymo_2,2,2,10,vacuum,filter,longmires,zymo,31.062,3692.36,0.053,0,PB119,1.24
52345-080,vacuum_longmires_zymo_2,2,1,10,vacuum,filter,longmires,zymo,31.078,3655.86,-0.011,0,PB119,1.24
52345-080,vacuum_longmires_zymo_2,2,3,10,vacuum,filter,longmires,zymo,31.247,3292.95,-0.029,0,PB119,1.24
52345-235,Extra longmires from sample 52345-080,,1,10,vacuum,liquid,longmires,zymo,33.135,1023.38,-0.076,0,PB119,0.559
52345-235,Extra longmires from sample 52345-080,,3,10,vacuum,liquid,longmires,zymo,33.364,888.20,0.154,0,PB119,0.559
52345-236,Extra longmires from sample 52345-081,,3,10,vacuum,liquid,longmires,zymo,33.639,749.15,-0.029,0,PB119,0.217
52345-236,Extra longmires from sample 52345-081,,1,10,vacuum,liquid,longmires,zymo,33.647,745.72,0.225,0,PB119,0.217
52345-235,Extra longmires from sample 52345-080,,2,10,vacuum,liquid,longmires,zymo,33.67,734.89,0.126,0,PB119,0.559
52345-236,Extra longmires from sample 52345-081,,2,10,vacuum,liquid,longmires,zymo,33.979,607.10,0.186,0,PB119,0.217
52345-234,Extra longmires from sample 52345-079,,1,10,vacuum,liquid,longmires,zymo,34.015,593.74,0.265,0,PB119,0.196
52345-234,Extra longmires from sample 52345-079,,2,10,vacuum,liquid,longmires,zymo,34.289,501.09,0.113,0,PB119,0.196
52345-234,Extra longmires from sample 52345-079,,3,10,vacuum,liquid,longmires,zymo,34.372,475.95,0.061,0,PB119,0.196
52345-230,Extra longmires from sample 52345-085,,2,1,vacuum,liquid,longmires,QBTK,30.647,5487.866,-0.836,0,PB118,0.09
52345-230,Extra longmires from sample 52345-085,,3,1,vacuum,liquid,longmires,QBTK,30.689,5331.865,-0.955,0,PB118,0.09
52345-230,Extra longmires from sample 52345-085,,1,1,vacuum,liquid,longmires,QBTK,30.866,4727.583,-0.837,0,PB118,0.09
52345-231,Extra longmires from sample 52345-086,,2,1,vacuum,liquid,longmires,QBTK,28.289,27348.5,-0.751,0,PB118,0.382
52345-231,Extra longmires from sample 52345-086,,3,1,vacuum,liquid,longmires,QBTK,28.339,26429.49,-0.831,0,PB118,0.382
52345-231,Extra longmires from sample 52345-086,,1,1,vacuum,liquid,longmires,QBTK,28.484,23949.76,-0.606,0,PB118,0.382
52345-232,Extra longmires from sample 52345-087,,3,1,vacuum,liquid,longmires,QBTK,27.606,43569.63,#VALUE!,#VALUE!,PB118,0.333
52345-232,Extra longmires from sample 52345-087,,1,1,vacuum,liquid,longmires,QBTK,27.792,38376,0.54,1,PB118,0.333
52345-232,Extra longmires from sample 52345-087,,2,1,vacuum,liquid,longmires,QBTK,27.533,45791.97,0.357,0,PB118,0.333
52345-220,RNAlater_SR_later_QBTK_1,1,1,1,SR,liquid,later,QBTK,29.666,10705.11,-0.272,0,PB118,0.087
52345-220,RNAlater_SR_later_QBTK_1,1,2,1,SR,liquid,later,QBTK,29.779,9914.2,-0.348,0,PB118,0.087
52345-220,RNAlater_SR_later_QBTK_1,1,3,1,SR,liquid,later,QBTK,30.049,8249.569,-0.174,0,PB118,0.087
52345-221,RNAlater_SR_later_QBTK_2,2,3,1,SR,liquid,later,QBTK,30.581,5740.86,-0.747,0,PB118,0.188
52345-221,RNAlater_SR_later_QBTK_2,2,2,1,SR,liquid,later,QBTK,30.61,5628.775,-0.66,0,PB118,0.188
52345-221,RNAlater_SR_later_QBTK_2,2,1,1,SR,liquid,later,QBTK,30.646,5490.727,-0.953,0,PB118,0.188
52345-222,RNAlater_SR_later_QBTK_3,3,2,1,SR,liquid,later,QBTK,27.7,40867.92,-0.77,0,PB118,0.284
52345-222,RNAlater_SR_later_QBTK_3,3,3,1,SR,liquid,later,QBTK,27.889,35918.18,-0.714,0,PB118,0.284
52345-222,RNAlater_SR_later_QBTK_3,3,1,1,SR,liquid,later,QBTK,27.894,35803.84,-0.777,0,PB118,0.284
52345-064,SR_-80_QBTK_1,1,2,1,SR,filter,minus 80,QBTK,22.716,1218654,1.247,1,PB118,21.1
52345-064,SR_-80_QBTK_1,1,1,1,SR,filter,minus 80,QBTK,23.053,968123.6,1.543,1,PB118,21.1
52345-064,SR_-80_QBTK_1,1,3,1,SR,filter,minus 80,QBTK,23.207,872109.6,0.914,1,PB118,21.1
52345-065,SR_-80_QBTK_2,2,2,1,SR,filter,minus 80,QBTK,23.688,628193.6,3.182,1,PB118,22.6
52345-065,SR_-80_QBTK_2,2,1,1,SR,filter,minus 80,QBTK,24.037,495248,4.952,1,PB118,22.6
52345-065,SR_-80_QBTK_2,2,3,1,SR,filter,minus 80,QBTK,24.081,480846.7,2.22,1,PB118,22.6
52345-066,SR_-80_QBTK_3,3,3,1,SR,filter,minus 80,QBTK,22.939,1046429,3.964,1,PB118,20.2
52345-066,SR_-80_QBTK_3,3,1,1,SR,filter,minus 80,QBTK,22.65,1273938,-0.156,0,PB118,20.2
52345-066,SR_-80_QBTK_3,3,2,1,SR,filter,minus 80,QBTK,22.705,1227172,-0.144,0,PB118,20.2
