experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,vol_filtered,filter_size
p_e,52345-064,2,21.1,407699,1.706910555490429e-4,QBTK,minus 80,0,3,5
p_e,52345-065,3,22.6,395591.8,1.5462952249914005e-4,QBTK,minus 80,0,3,5
p_e,52345-077,2,10.8,390119.3,3.19100330454129e-4,QBTK,shield,0,3,5
p_e,52345-077,1,10.8,375376.60000000003,3.070414539981678e-4,QBTK,shield,0,3,5
p_e,52345-064,3,21.1,362449,1.517462696565237e-4,QBTK,minus 80,0,3,5
p_e,52345-077,3,10.8,356855.3,2.91891849888758e-4,QBTK,shield,0,3,5
p_e,52345-128,3,12.2,355850.4,2.5766842379655917e-4,QBTK,later,0,3,5
p_e,52345-064,1,21.1,348735.6,1.460048900574414e-4,QBTK,minus 80,0,3,5
p_e,52345-055,2,19,347401.9,1.6152217779430913e-4,QBTK,self-preserving,0,3,5
p_e,52345-128,1,12.2,344934.6,2.497643804668945e-4,QBTK,later,0,3,5
p_e,52345-128,2,12.2,333748.39999999997,2.4166454266349996e-4,QBTK,later,0,3,5
p_e,52345-055,1,19,325788.2,1.5147303328993863e-4,QBTK,self-preserving,0,3,5
p_e,52345-129,3,10.8,322936.8,2.641480172752257e-4,QBTK,later,0,3,5
p_e,52345-076,3,12.4,316785.9,2.2568242049469966e-4,QBTK,shield,0,3,5
p_e,52345-129,2,10.8,312956.5,2.55984573354273e-4,QBTK,later,0,3,5
p_e,52345-055,3,19,311734.6,1.4493890645341266e-4,QBTK,self-preserving,0,3,5
p_e,52345-076,1,12.4,309435.5,2.2044589935027925e-4,QBTK,shield,0,3,5
p_e,52345-076,2,12.4,306753.6,2.1853527869599907e-4,QBTK,shield,0,3,5
p_e,52345-129,1,10.8,301346,2.4648769794529513e-4,QBTK,later,0,3,5
p_e,52345-078,2,10.1,257032.90000000002,2.2481273834097195e-4,QBTK,shield,0,3,5
p_e,52345-078,3,10.1,256008.5,2.2391675121575765e-4,QBTK,shield,0,3,5
p_e,52345-078,1,10.1,250176.69999999998,2.188159920232306e-4,QBTK,shield,0,3,5
p_e,52345-057,1,16.1,211831.8,1.1623016482672341e-4,QBTK,self-preserving,0,3,5
p_e,52345-057,2,16.1,203001.8,1.1138522485349954e-4,QBTK,self-preserving,0,3,5
p_e,52345-057,3,16.1,197722.40000000002,1.0848846651888595e-4,QBTK,self-preserving,0,3,5
p_e,52345-130,1,6.13,169401,2.441232079963569e-4,QBTK,later,0,3,5
p_e,52345-130,2,6.13,163841,2.361107108064953e-4,QBTK,later,0,3,5
